Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Prednisone	Systemic use: for the treatment of drug-induced allergic reactions, perennial or seasonal allergic rhinitis, serum sickness, giant cell arteritis acute rheumatic or nonrheumatic carditis, systemic dermatomyositis, systemic lupus erythematosus, atopic dermatitis, contact dermatitis, exfoliative dermatitis, bullous dermatitis herpetiformis, severe seborrheic dermatitis, severe (Stevens-Johnson syndrome) erythema multiforme, mycosis fungoides, pemphigus, severe psoriasis, acute adrenocortical insufficiency, Addison's disease, secondary adrenocortical insufficiency, congenital adrenal hyperplasia, hypercalcemia associated with neoplasms, nonsuppurative thyroiditis, ulceratice colitis, Crohn's disease, acquired hemolytic anemia, congenital hypoplastic anemia, erythroblastopenia, adult secondary thrombocytopenia, adult idiopathic thrombocytopenia purpura, acute or subacute bursitis, epicondylitis, acute nonspecific tenosynovitis, acute or chronic lymphocytic leukemia, Hodgkin's or non-Hodgkin's lynphomas, Waldenstrom's macroglobulinemia, primary brain tumors (adjunct), nephrotic syndrome, tuberculous meningitis, multiple sclerosis, myasthenia gravis. cerebral edema, chorioretinitis, diffuse posterior choroiditis, aleergic conjunctivitis, Herpes zoster ophthalmicus, anterior segment inflammation, iridocyclitis, iritis, keratitis, optoc neuritis, sympathetic ophthalmia, corneal marginal allergic ulcers, symptomatic sarcoidosis, Loeffler's syndrome not manageable by other means, berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy and aspiration pneumonitis.	Stem-cell leukemia/lymphoma syndrome	ZNF198	7750
Prednisone	Systemic use: for the treatment of drug-induced allergic reactions, perennial or seasonal allergic rhinitis, serum sickness, giant cell arteritis acute rheumatic or nonrheumatic carditis, systemic dermatomyositis, systemic lupus erythematosus, atopic dermatitis, contact dermatitis, exfoliative dermatitis, bullous dermatitis herpetiformis, severe seborrheic dermatitis, severe (Stevens-Johnson syndrome) erythema multiforme, mycosis fungoides, pemphigus, severe psoriasis, acute adrenocortical insufficiency, Addison's disease, secondary adrenocortical insufficiency, congenital adrenal hyperplasia, hypercalcemia associated with neoplasms, nonsuppurative thyroiditis, ulceratice colitis, Crohn's disease, acquired hemolytic anemia, congenital hypoplastic anemia, erythroblastopenia, adult secondary thrombocytopenia, adult idiopathic thrombocytopenia purpura, acute or subacute bursitis, epicondylitis, acute nonspecific tenosynovitis, acute or chronic lymphocytic leukemia, Hodgkin's or non-Hodgkin's lynphomas, Waldenstrom's macroglobulinemia, primary brain tumors (adjunct), nephrotic syndrome, tuberculous meningitis, multiple sclerosis, myasthenia gravis. cerebral edema, chorioretinitis, diffuse posterior choroiditis, aleergic conjunctivitis, Herpes zoster ophthalmicus, anterior segment inflammation, iridocyclitis, iritis, keratitis, optoc neuritis, sympathetic ophthalmia, corneal marginal allergic ulcers, symptomatic sarcoidosis, Loeffler's syndrome not manageable by other means, berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy and aspiration pneumonitis.	Stevens-Johnson syndrome, carbamazepine-induced	HLA-B	3106
Prednisone	Systemic use: for the treatment of drug-induced allergic reactions, perennial or seasonal allergic rhinitis, serum sickness, giant cell arteritis acute rheumatic or nonrheumatic carditis, systemic dermatomyositis, systemic lupus erythematosus, atopic dermatitis, contact dermatitis, exfoliative dermatitis, bullous dermatitis herpetiformis, severe seborrheic dermatitis, severe (Stevens-Johnson syndrome) erythema multiforme, mycosis fungoides, pemphigus, severe psoriasis, acute adrenocortical insufficiency, Addison's disease, secondary adrenocortical insufficiency, congenital adrenal hyperplasia, hypercalcemia associated with neoplasms, nonsuppurative thyroiditis, ulceratice colitis, Crohn's disease, acquired hemolytic anemia, congenital hypoplastic anemia, erythroblastopenia, adult secondary thrombocytopenia, adult idiopathic thrombocytopenia purpura, acute or subacute bursitis, epicondylitis, acute nonspecific tenosynovitis, acute or chronic lymphocytic leukemia, Hodgkin's or non-Hodgkin's lynphomas, Waldenstrom's macroglobulinemia, primary brain tumors (adjunct), nephrotic syndrome, tuberculous meningitis, multiple sclerosis, myasthenia gravis. cerebral edema, chorioretinitis, diffuse posterior choroiditis, aleergic conjunctivitis, Herpes zoster ophthalmicus, anterior segment inflammation, iridocyclitis, iritis, keratitis, optoc neuritis, sympathetic ophthalmia, corneal marginal allergic ulcers, symptomatic sarcoidosis, Loeffler's syndrome not manageable by other means, berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy and aspiration pneumonitis.	Systemic lupus erythematosus	FASLG;DNASE1;PTPN22;PDCD1	356;1773;26191;5133
Prednisone	Systemic use: for the treatment of drug-induced allergic reactions, perennial or seasonal allergic rhinitis, serum sickness, giant cell arteritis acute rheumatic or nonrheumatic carditis, systemic dermatomyositis, systemic lupus erythematosus, atopic dermatitis, contact dermatitis, exfoliative dermatitis, bullous dermatitis herpetiformis, severe seborrheic dermatitis, severe (Stevens-Johnson syndrome) erythema multiforme, mycosis fungoides, pemphigus, severe psoriasis, acute adrenocortical insufficiency, Addison's disease, secondary adrenocortical insufficiency, congenital adrenal hyperplasia, hypercalcemia associated with neoplasms, nonsuppurative thyroiditis, ulceratice colitis, Crohn's disease, acquired hemolytic anemia, congenital hypoplastic anemia, erythroblastopenia, adult secondary thrombocytopenia, adult idiopathic thrombocytopenia purpura, acute or subacute bursitis, epicondylitis, acute nonspecific tenosynovitis, acute or chronic lymphocytic leukemia, Hodgkin's or non-Hodgkin's lynphomas, Waldenstrom's macroglobulinemia, primary brain tumors (adjunct), nephrotic syndrome, tuberculous meningitis, multiple sclerosis, myasthenia gravis. cerebral edema, chorioretinitis, diffuse posterior choroiditis, aleergic conjunctivitis, Herpes zoster ophthalmicus, anterior segment inflammation, iridocyclitis, iritis, keratitis, optoc neuritis, sympathetic ophthalmia, corneal marginal allergic ulcers, symptomatic sarcoidosis, Loeffler's syndrome not manageable by other means, berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy and aspiration pneumonitis.	Thrombocytopenia	MASTL;MPL;WAS;F5	84930;4352;7454;2153
Prednisone	Systemic use: for the treatment of drug-induced allergic reactions, perennial or seasonal allergic rhinitis, serum sickness, giant cell arteritis acute rheumatic or nonrheumatic carditis, systemic dermatomyositis, systemic lupus erythematosus, atopic dermatitis, contact dermatitis, exfoliative dermatitis, bullous dermatitis herpetiformis, severe seborrheic dermatitis, severe (Stevens-Johnson syndrome) erythema multiforme, mycosis fungoides, pemphigus, severe psoriasis, acute adrenocortical insufficiency, Addison's disease, secondary adrenocortical insufficiency, congenital adrenal hyperplasia, hypercalcemia associated with neoplasms, nonsuppurative thyroiditis, ulceratice colitis, Crohn's disease, acquired hemolytic anemia, congenital hypoplastic anemia, erythroblastopenia, adult secondary thrombocytopenia, adult idiopathic thrombocytopenia purpura, acute or subacute bursitis, epicondylitis, acute nonspecific tenosynovitis, acute or chronic lymphocytic leukemia, Hodgkin's or non-Hodgkin's lynphomas, Waldenstrom's macroglobulinemia, primary brain tumors (adjunct), nephrotic syndrome, tuberculous meningitis, multiple sclerosis, myasthenia gravis. cerebral edema, chorioretinitis, diffuse posterior choroiditis, aleergic conjunctivitis, Herpes zoster ophthalmicus, anterior segment inflammation, iridocyclitis, iritis, keratitis, optoc neuritis, sympathetic ophthalmia, corneal marginal allergic ulcers, symptomatic sarcoidosis, Loeffler's syndrome not manageable by other means, berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy and aspiration pneumonitis.	Tuberculosis	IFNGR1;IFNG	3459;3458
Prednisone	Systemic use: for the treatment of drug-induced allergic reactions, perennial or seasonal allergic rhinitis, serum sickness, giant cell arteritis acute rheumatic or nonrheumatic carditis, systemic dermatomyositis, systemic lupus erythematosus, atopic dermatitis, contact dermatitis, exfoliative dermatitis, bullous dermatitis herpetiformis, severe seborrheic dermatitis, severe (Stevens-Johnson syndrome) erythema multiforme, mycosis fungoides, pemphigus, severe psoriasis, acute adrenocortical insufficiency, Addison's disease, secondary adrenocortical insufficiency, congenital adrenal hyperplasia, hypercalcemia associated with neoplasms, nonsuppurative thyroiditis, ulceratice colitis, Crohn's disease, acquired hemolytic anemia, congenital hypoplastic anemia, erythroblastopenia, adult secondary thrombocytopenia, adult idiopathic thrombocytopenia purpura, acute or subacute bursitis, epicondylitis, acute nonspecific tenosynovitis, acute or chronic lymphocytic leukemia, Hodgkin's or non-Hodgkin's lynphomas, Waldenstrom's macroglobulinemia, primary brain tumors (adjunct), nephrotic syndrome, tuberculous meningitis, multiple sclerosis, myasthenia gravis. cerebral edema, chorioretinitis, diffuse posterior choroiditis, aleergic conjunctivitis, Herpes zoster ophthalmicus, anterior segment inflammation, iridocyclitis, iritis, keratitis, optoc neuritis, sympathetic ophthalmia, corneal marginal allergic ulcers, symptomatic sarcoidosis, Loeffler's syndrome not manageable by other means, berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy and aspiration pneumonitis.	Allergic rhinitis	IL13	3596
Pregabalin	For management of neuropathic pain associated with diabetic peripheral neuropathy and postherpetic neuralgia.	Neuropathy	EGR2;MPZ;HSPB1;HSPB8;SPTLC1;NGFB;HSN2;PMP22	1959;4359;3315;26353;10558;4803;378465;5376
Primaquine	For the treatment of malaria.	Malaria	CD36;ICAM1;TNF;GYPC;NOS2A	948;3383;7124;2995;4843
Primidone	For the treatment of epilepsy	Epilepsy	KCNQ2;KCNQ3;GABRG2;CLCN2;JRK;CACNB4;SCN1A;ME2;GABRA1;EPM2A;NHLRC1;SLC25A22;CHRNA4;CHRNB2;LGI1;CSTB;SYN1	3785;3786;2566;1181;8629;785;6323;4200;2554;7957;378884;79751;1137;1141;9211;1476;6853
Probenecid	For the treatment of gout and high levels of uric acid in the blood	Gout		
Procarbazine	For use with other anticancer drugs for the treatment of stage III and stage IV Hodgkin's disease.	Rapp-Hodgkin syndrome	TP73L	8626
Procyclidine	For the treatment of Parkinson's Disease (especially drug induced)	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Progabide	Indicated for the treatment of epilepsy.	Epilepsy	KCNQ2;KCNQ3;GABRG2;CLCN2;JRK;CACNB4;SCN1A;ME2;GABRA1;EPM2A;NHLRC1;SLC25A22;CHRNA4;CHRNB2;LGI1;CSTB;SYN1	3785;3786;2566;1181;8629;785;6323;4200;2554;7957;378884;79751;1137;1141;9211;1476;6853
Proguanil	For the treatment of antimalarial drug prophylaxis	Malaria	CD36;ICAM1;TNF;GYPC;NOS2A	948;3383;7124;2995;4843
Propafenone	Used to prolong the time to recurrence of paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms in patients without structural heart disease. Also used for the treatment of life-threatening documented ventricular arrhythmias, such as sustained ventricular tachycardia.	Atrial fibrillation	KCNE2;KCNQ1;GATA4;MYH6;NKX2-5	9992;3784;2626;4624;1482
Propafenone	Used to prolong the time to recurrence of paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms in patients without structural heart disease. Also used for the treatment of life-threatening documented ventricular arrhythmias, such as sustained ventricular tachycardia.	Ventricular fibrillation, idiopathic	SCN5A	6331
Propafenone	Used to prolong the time to recurrence of paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms in patients without structural heart disease. Also used for the treatment of life-threatening documented ventricular arrhythmias, such as sustained ventricular tachycardia.	Ventricular tachycardia	GNAI2;CASQ2;RYR2	2771;845;6262
Propantheline	For the treatment of enuresis.	Enuresis		
Propranolol	For the prophylaxis of migraine.	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Propylthiouracil	Used to manage hyperthyroidism which is due to an overactive thyroid gland (Grave's disease).	Hyperthyroidism	TPO	7173
Protriptyline	For the treatment of depression and obsessive-compulsive disorders.	Obsessive-compulsive disorder	SLC6A4;BDNF;HTR2A	6532;627;3356
Pseudoephedrine	For the treatment of nasal congestion, sinus congestion, Eustachian tube congestion, and vasomotor rhinitis, and as an adjunct to other agents in the optimum treatment of allergic rhinitis, croup, sinusitis, otitis media, and tracheobronchitis. Also used as first-line therapy of priapism.	Otitis media		
Pseudoephedrine	For the treatment of nasal congestion, sinus congestion, Eustachian tube congestion, and vasomotor rhinitis, and as an adjunct to other agents in the optimum treatment of allergic rhinitis, croup, sinusitis, otitis media, and tracheobronchitis. Also used as first-line therapy of priapism.	Allergic rhinitis	IL13	3596
Pyrazinamide	For the initial treatment of active tuberculosis in adults and children when combined with other antituberculous agents.	Tuberculosis	IFNGR1;IFNG	3459;3458
Pyridostigmine	For the treatment of myasthenia gravis.	Myasthenia	FIMG1	8144
Pyrimethamine	For the treatment of toxoplasmosis and acute malaria; For the prevention of malaria in areas non-resistant to pyrimethamine	Malaria	CD36;ICAM1;TNF;GYPC;NOS2A	948;3383;7124;2995;4843
Quetiapine	For the treatment of schizophrenia and acute manic episodes associated with bipolar I disorder, as either monotherapy or adjunct therapy to lithium or divalproex.	Bipolar disorder	XBP1	7494
Quetiapine	For the treatment of schizophrenia and acute manic episodes associated with bipolar I disorder, as either monotherapy or adjunct therapy to lithium or divalproex.	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Quinapril	For the treatment of hypertension and chronic heart failure.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Quinine	For the treatment of malaria and leg cramps	Cramps, potassium-aggravated	SCN4A	6329
Quinine	For the treatment of malaria and leg cramps	Malaria	CD36;ICAM1;TNF;GYPC;NOS2A	948;3383;7124;2995;4843
Rabeprazole	For short-term treatment in the healing and symptomatic relief of erosive or ulcerative gastroesophageal reflux disease (GERD).	Gastroesophageal reflux		
Raloxifene	For the prevention of osteoporosis in post-menopausal women	Osteoporosis	PDLIM4	8572
Ramelteon	For the treatment of insomnia characterized by difficulty with sleep onset.	Insomnia	GABRB3;PRNP	2562;5621
Ramipril	Indicated for diuretics and digitalis in congestive heart failure as adjunctive therapy; prophylaxis in post MI.	Congestive heart failure	ADRA2C;ADRB1	152;153
Ranitidine	Used in the treatment of peptic ulcer disease (PUD), dyspepsia, stress ulcer prophylaxis, and gastroesophageal reflux disease (GERD).	Gastroesophageal reflux		
Remikiren	For the treatment of hypertension and heart failure	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Remoxipride	For the treatment of schizophrenia.	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Repaglinide	For the treatment of Type II diabetes mellitus.	Diabetes mellitus	ABCC8;TCF1;SUMO4;PTPN22;INSR;PPARG;GCK;GCGR;GPD2;HNF4A;IRS2;MAPK8IP1;NEUROD1;TCF2;IRS1;SLC2A2;SLC2A4;CAPN10;ENPP1;RETN;PTF1A;KCNJ11;AKT2;IPF1;FOXP3;ACE;VEGF	6833;6927;387082;26191;3643;5468;2645;2642;2820;3172;8660;9479;4760;6928;3667;6514;6517;11132;5167;56729;256297;3767;208;3651;50943;1636;7422
Rescinnamine	For the treatment of hypertension	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Reserpine	Foe the treatment of hypertension	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Reteplase	For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Reteplase	For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction	Pulmonary disease		
Ridogrel	Used as an adjunctive therapy to induce thrombolysis in patients suffering acute myocardial infarction.	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Rifabutin	For the prevention of disseminated Mycobacterium avium complex (MAC) disease in patients with advanced HIV infection.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Rifampin	For the treatment of Tuberculosis and Tuberculosis-related mycobacterial infections.	Mycobacterial infection	IL12RB1;IFNGR1;IFNGR2;STAT1;SLC11A1	3594;3459;3460;6772;6556
Rifampin	For the treatment of Tuberculosis and Tuberculosis-related mycobacterial infections.	Tuberculosis	IFNGR1;IFNG	3459;3458
Rifapentine	For the treatment of pulmonary tuberculosis.	Pulmonary disease		
Rifapentine	For the treatment of pulmonary tuberculosis.	Tuberculosis	IFNGR1;IFNG	3459;3458
Riluzole	For the treatment of amyotrophic lateral sclerosis (ALS, Lou Gehrig's Disease)	Amyotrophic lateral sclerosis	VAPB;SOD1;ALS2;DCTN1;NEFH;PRPH	9217;6647;57679;1639;4744;5630
Risedronate	For the treatment of Paget's disease of the bone (osteitis deformans), postmenopausal and glucocorticoid-induced osteoporosis	Glucocorticoid deficiency	MRAP;MC2R	56246;4158
Risedronate	For the treatment of Paget's disease of the bone (osteitis deformans), postmenopausal and glucocorticoid-induced osteoporosis	Osteoporosis	PDLIM4	8572
Risedronate	For the treatment of Paget's disease of the bone (osteitis deformans), postmenopausal and glucocorticoid-induced osteoporosis	Paget disease	TNFRSF11B;SQSTM1;TNFRSF11A	4982;8878;8792
Risperidone	For the treatment of schizophrenia.	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Ritonavir	Indicated in combination with other antiretroviral agents for the treatment of HIV-infection.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Ritonavir	Indicated in combination with other antiretroviral agents for the treatment of HIV-infection.	Viral infection	FCGR3A;OAS1	2214;4938
Rituximab	For treatment of B-cell non-Hodgkins lymphoma (CD20 positive)	B-cell non-Hodgkin lymphoma, high-grade	BCL7A	605
Rituximab	For treatment of B-cell non-Hodgkins lymphoma (CD20 positive)	Rapp-Hodgkin syndrome	TP73L	8626
Rituximab	For treatment of B-cell non-Hodgkins lymphoma (CD20 positive)	Lymphoma	RAP1GDS1;ATM;BCL8;BCL10;RAD54B;RAD54L;FCGR2B;MAD1L1;MSH2;SH2D1A	5910;472;606;8915;25788;8438;2213;8379;4436;4068
Rituximab	For treatment of B-cell non-Hodgkins lymphoma (CD20 positive)	Non-Hodgkin lymphoma	CASP10	843
Rivastigmine	For the treatment of mild to moderate Alzheimer's disease.	Alzheimer disease	APP;APOE;PSEN2;APBB2;NOS3;PLAU;ACE;MPO;PAXIP1;A2M;BLMH;PSEN1	351;348;5664;323;4846;5328;1636;4353;22976;2;642;5663
Rizatriptan	For treatment of acute migraine attacks.	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
R-mephobarbital	For the relief of anxiety, tension, and apprehension, also used as an anticonvulsant for the treatment of epilepsy.	Epilepsy	KCNQ2;KCNQ3;GABRG2;CLCN2;JRK;CACNB4;SCN1A;ME2;GABRA1;EPM2A;NHLRC1;SLC25A22;CHRNA4;CHRNB2;LGI1;CSTB;SYN1	3785;3786;2566;1181;8629;785;6323;4200;2554;7957;378884;79751;1137;1141;9211;1476;6853
Rofecoxib	For the treatment of osteoarthritis, acute pain in adults and menstrual pain.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Ropinirole	For the treatment of the signs and symptoms of idiopathic Parkinson's disease. Also used for the treatment of restless legs syndrome.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Ropinirole	For the treatment of the signs and symptoms of idiopathic Parkinson's disease. Also used for the treatment of restless legs syndrome.	Restless legs syndrome		
Rosiglitazone	For the treatment of Type II diabetes mellitus	Diabetes mellitus	ABCC8;TCF1;SUMO4;PTPN22;INSR;PPARG;GCK;GCGR;GPD2;HNF4A;IRS2;MAPK8IP1;NEUROD1;TCF2;IRS1;SLC2A2;SLC2A4;CAPN10;ENPP1;RETN;PTF1A;KCNJ11;AKT2;IPF1;FOXP3;ACE;VEGF	6833;6927;387082;26191;3643;5468;2645;2642;2820;3172;8660;9479;4760;6928;3667;6514;6517;11132;5167;56729;256297;3767;208;3651;50943;1636;7422
Salmeterol	For the treatment of asthma and chronic obstructive pulmonary disease (COPD).	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Salmeterol	For the treatment of asthma and chronic obstructive pulmonary disease (COPD).	COPD, rate of decline of lung function in	MMP1	4312
Salmeterol	For the treatment of asthma and chronic obstructive pulmonary disease (COPD).	Pulmonary disease		
Saquinavir	For the treatment of HIV-1 with advanced immunodeficiency together with antiretroviral nucleoside analogues.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Saquinavir	For the treatment of HIV-1 with advanced immunodeficiency together with antiretroviral nucleoside analogues.	Immunodeficiency	CD3E;CD3G;AICDA;CD40;UNG;CD40LG	916;917;57379;958;7374;959
Secobarbital	For the Short-term treatment of intractable insomnia for patients habituated to barbiturates	Insomnia	GABRB3;PRNP	2562;5621
Selegiline	For the adjunct treatment for Parkinson's disease.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Sermorelin	For the treatment of dwarfism, prevention of HIV-induced weight loss	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Sertraline	For the treatment of posttraumatic stress disorder, depression, obsessive-compulsive disorder and panic disorder	Obsessive-compulsive disorder	SLC6A4;BDNF;HTR2A	6532;627;3356
Sertraline	For the treatment of posttraumatic stress disorder, depression, obsessive-compulsive disorder and panic disorder	Panic disorder syndrome		
Serum albumin	For treatment of severe blood loss, hypervolemia, hypoproteinemia	Protein S deficiency	PROS1	5627
Sibutramine	For the treatment of obesity.	Obesity	POMC;MC4R;AKR1C2;NTRK2;AGRP;NR0B2;LEP;LEPR;PPARG;SIM1;UCP3;MC3R;SLC6A14;ADRB2;ADRB3;CART;ENPP1;GHRL;UCP1;UCP2;PCSK1	5443;4160;1646;4915;181;8431;3952;3953;5468;6492;7352;4159;11254;154;155;9607;5167;51738;7350;7351;5122
Simvastatin	For the treatment of hypercholesterolemia.	Hypercholesterolemia	APOB;LDLR;PCSK9;LDLRAP1;EPHX2;APOA2;C7orf16;ITIH4	338;3949;255738;26119;2053;336;10842;3700
Somatropin recombinant	For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss	Acromegaly	GNAS;SSTR5	2778;6755
Somatropin recombinant	For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Sorbinil	Diabetic retinopathy and neuropathy	Neuropathy	EGR2;MPZ;HSPB1;HSPB8;SPTLC1;NGFB;HSN2;PMP22	1959;4359;3315;26353;10558;4803;378465;5376
Sorbinil	Diabetic retinopathy and neuropathy	Retinopathy, vascular, with cerebral and renal involvement		
Sotalol	For the maintenance of normal sinus rhythm [delay in time to recurrence of atrial fibrillation/atrial flutter (AFIB/AFL)] in patients with symptomatic AFIB/AFL who are currently in sinus rhythm. Also for the treatment of documented life-threatening ventricular arrhythmias.	Atrial fibrillation	KCNE2;KCNQ1;GATA4;MYH6;NKX2-5	9992;3784;2626;4624;1482
Sotalol	For the maintenance of normal sinus rhythm [delay in time to recurrence of atrial fibrillation/atrial flutter (AFIB/AFL)] in patients with symptomatic AFIB/AFL who are currently in sinus rhythm. Also for the treatment of documented life-threatening ventricular arrhythmias.	Ventricular fibrillation, idiopathic	SCN5A	6331
Sparfloxacin	For the treatment of adults with the following infections caused by susceptible strains microorganisms: community-acquired pneumonia (caused by Chlamydia pneumoniae, Haemophilus influenzae, Haemophilus parainfluenzae, Moraxella catarrhalis, Mycoplasma pneumoniae, or Streptococcus pneumoniae) and acute bacterial exacerbations of chronic bronchitis (caused by Chlamydia pneumoniae, Enterobacter cloacae, Haemophilus influenzae, Haemophilus parainfluenzae, Klebsiella pneumoniae, Moraxella catarrhalis, Staphylococcus aureus, or Streptococcus pneumoniae).	Chronic infections, due to opsonin defect	MBL2	4153
Spironolactone	Used primarily to treat low-renin hypertension, hypokalemia, and Conn's syndrome.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Spironolactone	Used primarily to treat low-renin hypertension, hypokalemia, and Conn's syndrome.	Low renin hypertension	CYP11B2	1585
Stavudine	For the treatment of human immunovirus (HIV) infections.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Streptokinase	For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or embolism and occlusion of arteriovenous cannulae	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Streptokinase	For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or embolism and occlusion of arteriovenous cannulae	Pulmonary disease		
Streptokinase	For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or embolism and occlusion of arteriovenous cannulae	Venous thrombosis	TEK;SERPINA10	7010;51156
Streptomycin	For the treatment of Tuberculosis	Tuberculosis	IFNGR1;IFNG	3459;3458
Succimer	For the treatment of lead poisoning in pediatric patients with blood lead levels above 45 µg/dL. May also be used to treat mercury or arsenic poisoning.	Lead poisoning	ALAD	210
Sulfacetamide	For the treatment of bacterial vaginitis, keratitis, acute conjunctivitis, and blepharitis.	Conjunctivitis, ligneous	PLG	5340
Sulfacetamide	For the treatment of bacterial vaginitis, keratitis, acute conjunctivitis, and blepharitis.	Keratitis	PAX6	5080
Sulfadiazine	For the treatment of rheumatic fever and meningococcal meningitis	Meningococcal disease	MBL2	4153
Sulfamethizole	For the treatment of urinary tract infection	Urinary tract infection		
Sulfamethoxazole	For the treatment of bronchitis, prostatitis and urinary tract infections.	Urinary tract infection		
Sulfametopyrazine	For the treatment of urinary tract infection and chronic bronchitis.	Urinary tract infection		
Sulfapyridine	For the treatment of dermatitis herpetiformis, benign mucous membrane pemphigoid and pyoderma gangrenosum	Dermatitis, atopic		
Sulfapyridine	For the treatment of dermatitis herpetiformis, benign mucous membrane pemphigoid and pyoderma gangrenosum	Pemphigoid		
Sulfasalazine	For the treatment of Crohn's disease and rheumatoid arthritis as a second-line agent.	Crohn disease	CARD15;DLG5	64127;9231
